CGFour:
Cell: [0] (647.76166, 411.83932, 648.29205); node id: 4
Cell: [1] (430.34766, 432.74823, 493.4298); node id: 5
Cell: [2] (9.453491, 427.84427, 445.21356); node id: 6
Cell: [3] (-35.00058, 418.81772, 545.6379); node id: 7
Cell: [4] (-29.300568, 414.6669, 512.1888); node id: 0
Cell: [5] (178.17023, 420.23096, 284.1566); node id: 1
Cell: [6] (395.21277, 420.74542, 53.244583); node id: 2
Cell: [7] (727.1803, 432.276, 416.79218); node id: 3
Cell: [8] (180.64746, 437.92212, 589.2145); node id: 4
Cell: [9] (383.83096, 424.23367, 111.573715); node id: 5
Cell: [10] (678.92645, 437.43173, 345.6352); node id: 6
Cell: [11] (144.63077, 437.15833, 207.02454); node id: 7
Cell: [12] (777.0683, 418.80203, -37.60431); node id: 0
Cell: [13] (691.593, 412.67328, 45.908676); node id: 1
Cell: [14] (612.56195, 430.89, -19.311752); node id: 2
Cell: [15] (-48.19662, 413.99475, 747.48346); node id: 3
Cell: [16] (679.4776, 434.53625, 139.70639); node id: 4
Cell: [17] (-39.691387, 424.5156, 442.0736); node id: 5
Cell: [18] (-77.63268, 413.82675, 298.67694); node id: 6
Cell: [19] (-7.8237915, 431.29337, 50.91046); node id: 7
Cell: [20] (378.73264, 422.60062, 32.149063); node id: 0
Cell: [21] (522.59454, 434.1459, 562.2676); node id: 1
Cell: [22] (778.3196, 435.05435, 305.35593); node id: 2
Cell: [23] (68.55629, 436.32272, 414.29785); node id: 3
Cell: [24] (619.2871, 422.91025, 489.8678); node id: 4
Cell: [25] (532.72314, 433.06952, 404.5743); node id: 5
Cell: [26] (-50.0695, 413.17572, 245.19278); node id: 6
Cell: [27] (327.60898, 433.7409, 459.872); node id: 7
Cell: [28] (331.5601, 423.37503, 117.46933); node id: 0
Cell: [29] (305.05402, 414.7626, 673.70355); node id: 1
Cell: [30] (67.89775, 416.64114, -68.37772); node id: 2
Cell: [31] (304.6581, 438.7922, 424.95605); node id: 3
Cell: [32] (377.74118, 416.14682, 505.8888); node id: 4
Cell: [33] (155.61855, 428.42654, 672.50867); node id: 5
Cell: [34] (164.3952, 417.50867, 582.3988); node id: 6
Cell: [35] (574.3778, 417.51862, 411.25415); node id: 7
Cell: [36] (51.4991, 415.4294, 369.37128); node id: 0
Cell: [37] (44.420547, 435.47662, 149.46213); node id: 1
Cell: [38] (3.747467, 419.52188, -89.34535); node id: 2
Cell: [39] (592.282, 433.1805, 340.8003); node id: 3
Cell: [40] (321.8413, 416.08386, 431.2035); node id: 4
Cell: [41] (217.53375, 412.45132, 541.33154); node id: 5
Cell: [42] (168.78201, 432.20233, -16.243195); node id: 6
Cell: [43] (-66.644104, 435.48447, 674.8245); node id: 7
Cell: [44] (409.6711, 428.15805, -41.123314); node id: 0
Cell: [45] (226.5982, 416.62756, 78.81435); node id: 1
Cell: [46] (10.472626, 416.1453, 462.93817); node id: 2
Cell: [47] (511.81885, 428.68268, 685.1082); node id: 3
Cell: [48] (352.5413, 415.226, 614.232); node id: 4
Cell: [49] (475.41217, 422.25024, -61.629444); node id: 5
Cell: [50] (64.42198, 439.40665, 483.357); node id: 6
Cell: [51] (685.6315, 428.0509, 441.49286); node id: 7
Cell: [52] (-0.74378204, 426.66867, 384.54636); node id: 0
Cell: [53] (-18.30233, 415.97174, 2.1487122); node id: 1
Cell: [54] (189.49698, 417.60568, 7.413246); node id: 2
Cell: [55] (558.71356, 428.58722, 756.3872); node id: 3
Cell: [56] (122.79265, 414.31863, 294.32977); node id: 4
Cell: [57] (509.3463, 426.95706, 357.86505); node id: 5
Cell: [58] (208.935, 417.66083, 450.3568); node id: 6
Cell: [59] (-86.6302, 421.8372, 214.39496); node id: 7
Cell: [60] (524.58344, 438.59576, 323.76923); node id: 0
Cell: [61] (597.62134, 418.54883, 287.61154); node id: 1
Cell: [62] (434.41187, 415.811, 384.50018); node id: 2
Cell: [63] (80.026, 415.9124, 501.56323); node id: 3
Cell: [64] (568.1069, 426.1302, 710.82385); node id: 4
Cell: [65] (638.23804, 420.6152, 404.57425); node id: 5
Cell: [66] (525.4826, 417.2766, 708.6452); node id: 6
Cell: [67] (335.91614, 426.05392, 308.67337); node id: 7
Cell: [68] (312.61136, 431.30862, 559.5173); node id: 0
Cell: [69] (-67.61699, 435.89948, 608.83936); node id: 1
Cell: [70] (670.70874, 417.97366, 148.61755); node id: 2
Cell: [71] (394.94427, 421.03778, 291.10223); node id: 3
Cell: [72] (104.359375, 414.12326, 193.08203); node id: 4
Cell: [73] (723.4632, 416.5182, 283.02963); node id: 5
Cell: [74] (283.36523, 436.54846, 331.62253); node id: 6
Cell: [75] (-66.71507, 410.42435, 296.6243); node id: 7
Cell: [76] (738.81165, 430.14313, 423.4024); node id: 0
Cell: [77] (535.23456, 416.62732, 0.1319046); node id: 1
Cell: [78] (211.55649, 427.64975, -88.69277); node id: 2
Cell: [79] (12.567001, 417.58514, 25.18052); node id: 3
Cell: [80] (43.96054, 437.72137, 754.9579); node id: 4
Cell: [81] (616.7041, 413.93417, -14.180038); node id: 5
Cell: [82] (621.8291, 424.95694, 581.004); node id: 6
Cell: [83] (126.736145, 426.06686, 203.24579); node id: 7
