SampleIClamp:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 0, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 1, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 2, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 3, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 4, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 5, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 6, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 7, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 8, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 9, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 10, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 11, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 12, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: SampleCellGroup, cellNumber: 13, segmentId: 0, fractionAlong: 0.5]
